id,eta_fM2_SAEM,eta_delta_V_SAEM,eta_delta_S_SAEM,eta_theta_SAEM,eta_delta_Ab_SAEM,eta_alpha_SAEM,eta_fM2_mean,eta_delta_V_mean,eta_delta_S_mean,eta_theta_mean,eta_delta_Ab_mean,eta_alpha_mean,eta_fM2_mode,eta_delta_V_mode,eta_delta_S_mode,eta_theta_mode,eta_delta_Ab_mode,eta_alpha_mode,eta_fM2_sd,eta_delta_V_sd,eta_delta_S_sd,eta_theta_sd,eta_delta_Ab_sd,eta_alpha_sd
1,0.246635,0,0,-0.0607431,0,0,0.249638,0,0,-0.0796131,0,0,0.250031,0,0,-0.0777316,0,0,0.0764798,0,0,0.187243,0,0
2,0.669107,0,0,-0.699514,0,0,0.66016,0,0,-0.718939,0,0,0.671495,0,0,-0.731581,0,0,0.0378326,0,0,0.190958,0,0
3,-0.207368,0,0,0.166478,0,0,-0.214489,0,0,0.188356,0,0,-0.17878,0,0,0.146815,0,0,0.106029,0,0,0.217118,0,0
4,1.32916,0,0,-0.698919,0,0,1.32679,0,0,-0.726964,0,0,1.32576,0,0,-0.689347,0,0,0.0138125,0,0,0.168393,0,0
5,-0.346787,0,0,-0.00471994,0,0,-0.348783,0,0,-0.00823461,0,0,-0.335266,0,0,-0.0273651,0,0,0.119605,0,0,0.234891,0,0
6,-0.0654644,0,0,-0.0247406,0,0,-0.0790684,0,0,-0.00214742,0,0,-0.0703836,0,0,0.0113191,0,0,0.082623,0,0,0.159407,0,0
7,0.206495,0,0,0.533466,0,0,0.200418,0,0,0.499772,0,0,0.216275,0,0,0.517302,0,0,0.0720058,0,0,0.19503,0,0
8,0.309927,0,0,-0.551482,0,0,0.28516,0,0,-0.594459,0,0,0.30455,0,0,-0.576181,0,0,0.065318,0,0,0.236825,0,0
9,-0.74842,0,0,0.102611,0,0,-0.589471,0,0,0.103514,0,0,-0.0485119,0,0,0.103514,0,0,0.376573,0,0,0,0,0
10,-0.90076,0,0,0.370058,0,0,-0.92724,0,0,0.327292,0,0,-0.866199,0,0,0.3736,0,0,0.206552,0,0,0.21853,0,0
11,-0.120319,0,0,-0.595809,0,0,-0.111837,0,0,-0.628758,0,0,-0.115966,0,0,-0.569833,0,0,0.10291,0,0,0.221646,0,0
12,0.636905,0,0,-0.084701,0,0,0.634325,0,0,-0.102289,0,0,0.63546,0,0,-0.0883357,0,0,0.0512062,0,0,0.141403,0,0
13,0.0562103,0,0,0.167122,0,0,0.0470744,0,0,0.151749,0,0,0.0724971,0,0,0.188846,0,0,0.0816047,0,0,0.220273,0,0
14,-1.24576,0,0,0.0841155,0,0,-1.92819,0,0,0.0119947,0,0,-1.83852,0,0,0.0327984,0,0,0.371156,0,0,0.211043,0,0
15,0.883402,0,0,0.346676,0,0,0.883292,0,0,0.3696,0,0,0.880798,0,0,0.348191,0,0,0.0367141,0,0,0.184195,0,0
16,-0.118304,0,0,-0.331261,0,0,-0.120226,0,0,-0.351573,0,0,-0.10636,0,0,-0.380256,0,0,0.111696,0,0,0.172457,0,0
17,1.14151,0,0,-0.203224,0,0,1.14465,0,0,-0.208637,0,0,1.1399,0,0,-0.221802,0,0,0.0185741,0,0,0.215279,0,0
18,0.723566,0,0,-0.484013,0,0,0.715454,0,0,-0.458459,0,0,0.716719,0,0,-0.497556,0,0,0.0294794,0,0,0.175564,0,0
19,-0.296456,0,0,0.586108,0,0,-0.273563,0,0,0.529354,0,0,-0.264444,0,0,0.571262,0,0,0.108147,0,0,0.185778,0,0
20,-1.01548,0,0,0.46011,0,0,-0.98638,0,0,0.508321,0,0,-0.966574,0,0,0.468602,0,0,0.218017,0,0,0.215715,0,0
21,-0.548891,0,0,0.60735,0,0,-0.582096,0,0,0.576047,0,0,-0.543466,0,0,0.632191,0,0,0.181528,0,0,0.180854,0,0
22,-0.573137,0,0,0.429884,0,0,-0.578418,0,0,0.466115,0,0,-0.542102,0,0,0.408643,0,0,0.142943,0,0,0.23446,0,0
23,-1.14923,0,0,0.11551,0,0,-1.1282,0,0,0.123492,0,0,-1.09021,0,0,0.122598,0,0,0.256881,0,0,0.190547,0,0
24,-0.554932,0,0,-0.622489,0,0,-0.59721,0,0,-0.611962,0,0,-0.552935,0,0,-0.612333,0,0,0.13839,0,0,0.168734,0,0
25,0.0159822,0,0,-0.551913,0,0,0.0353953,0,0,-0.561593,0,0,0.0170489,0,0,-0.556727,0,0,0.0819332,0,0,0.210382,0,0
26,-0.217229,0,0,0.547612,0,0,-0.248502,0,0,0.508707,0,0,-0.210717,0,0,0.499287,0,0,0.102036,0,0,0.179076,0,0
27,0.838702,0,0,0.250468,0,0,0.843339,0,0,0.21686,0,0,0.83829,0,0,0.237456,0,0,0.0288518,0,0,0.210752,0,0
28,0.228737,0,0,-0.37827,0,0,0.190473,0,0,-0.354688,0,0,0.214343,0,0,-0.403712,0,0,0.072429,0,0,0.203042,0,0
29,-1.12301,0,0,-0.0827854,0,0,-1.1168,0,0,-0.0846161,0,0,-1.08037,0,0,-0.0887025,0,0,0.250754,0,0,0.167165,0,0
30,0.824107,0,0,-0.217463,0,0,0.827816,0,0,-0.260665,0,0,0.825383,0,0,-0.219649,0,0,0.0335842,0,0,0.177284,0,0
31,0.263385,0,0,-0.415816,0,0,0.251905,0,0,-0.422207,0,0,0.262909,0,0,-0.412343,0,0,0.0706255,0,0,0.200124,0,0
32,0.13357,0,0,0.327614,0,0,0.119075,0,0,0.362012,0,0,0.120623,0,0,0.344643,0,0,0.085581,0,0,0.202686,0,0
33,-0.358189,0,0,1.00249,0,0,-0.377501,0,0,1.00216,0,0,-0.347576,0,0,0.993893,0,0,0.118199,0,0,0.185475,0,0
34,-0.758364,0,0,-0.195287,0,0,-0.777915,0,0,-0.202592,0,0,-0.732392,0,0,-0.197969,0,0,0.190464,0,0,0.207227,0,0
35,1.31209,0,0,0.598579,0,0,1.30327,0,0,0.566619,0,0,1.30791,0,0,0.566661,0,0,0.0197322,0,0,0.229473,0,0
36,-0.372105,0,0,0.624145,0,0,-0.393644,0,0,0.669569,0,0,-0.35691,0,0,0.667417,0,0,0.115398,0,0,0.157764,0,0
37,-0.51003,0,0,-0.395632,0,0,-0.514177,0,0,-0.436384,0,0,-0.49028,0,0,-0.414897,0,0,0.148723,0,0,0.199296,0,0
38,0.626666,0,0,0.683566,0,0,0.622662,0,0,0.632823,0,0,0.628472,0,0,0.67514,0,0,0.0411264,0,0,0.173508,0,0
39,0.827762,0,0,0.18421,0,0,0.818642,0,0,0.193875,0,0,0.82344,0,0,0.182683,0,0,0.047192,0,0,0.20347,0,0
40,-0.224998,0,0,0.47507,0,0,-0.222512,0,0,0.479764,0,0,-0.205419,0,0,0.48741,0,0,0.116392,0,0,0.204328,0,0
41,0.840424,0,0,-0.0511517,0,0,0.838834,0,0,-0.04303,0,0,0.837446,0,0,-0.0663108,0,0,0.0281442,0,0,0.171297,0,0
42,-0.0499653,0,0,0.386688,0,0,-0.063126,0,0,0.432007,0,0,-0.0418502,0,0,0.40003,0,0,0.111293,0,0,0.220127,0,0
43,-0.346586,0,0,-0.740635,0,0,-0.379644,0,0,-0.753111,0,0,-0.359847,0,0,-0.733732,0,0,0.116023,0,0,0.212919,0,0
44,0.0665076,0,0,0.335669,0,0,0.054496,0,0,0.288627,0,0,0.0783567,0,0,0.316472,0,0,0.0962134,0,0,0.17034,0,0
45,0.782972,0,0,-0.557175,0,0,0.778777,0,0,-0.573519,0,0,0.777364,0,0,-0.535665,0,0,0.0353608,0,0,0.294291,0,0
46,-0.799961,0,0,-0.456579,0,0,-0.826104,0,0,-0.425544,0,0,-0.777323,0,0,-0.459653,0,0,0.194059,0,0,0.158591,0,0
47,-1.2895,0,0,0.497475,0,0,-1.33158,0,0,0.499873,0,0,-1.20069,0,0,0.490421,0,0,0.258239,0,0,0.195587,0,0
48,-0.337018,0,0,0.709512,0,0,-0.314757,0,0,0.755872,0,0,-0.322141,0,0,0.721178,0,0,0.122358,0,0,0.153243,0,0
49,-0.192272,0,0,-0.136894,0,0,-0.185029,0,0,-0.144647,0,0,-0.177913,0,0,-0.134797,0,0,0.123923,0,0,0.195516,0,0
50,0.91942,0,0,-0.0222666,0,0,0.908476,0,0,-0.00984453,0,0,0.91199,0,0,-0.0261163,0,0,0.0330991,0,0,0.152337,0,0
51,0.317357,0,0,-0.894929,0,0,0.307864,0,0,-0.802847,0,0,0.325831,0,0,-0.838836,0,0,0.0727781,0,0,0.15857,0,0
52,0.0855329,0,0,0.193839,0,0,0.0610574,0,0,0.278865,0,0,0.0797166,0,0,0.249501,0,0,0.0707897,0,0,0.181777,0,0
53,-0.219726,0,0,0.0440062,0,0,-0.224194,0,0,0.0565044,0,0,-0.204507,0,0,0.0457215,0,0,0.100952,0,0,0.16216,0,0
54,0.281933,0,0,-0.51556,0,0,0.296066,0,0,-0.484931,0,0,0.294915,0,0,-0.545434,0,0,0.0699696,0,0,0.189572,0,0
55,0.783711,0,0,0.473463,0,0,0.783471,0,0,0.416947,0,0,0.775887,0,0,0.45326,0,0,0.0406917,0,0,0.165447,0,0
56,-0.711895,0,0,-0.741408,0,0,-0.686555,0,0,-0.706025,0,0,-0.658148,0,0,-0.741174,0,0,0.148461,0,0,0.220849,0,0
57,0.59049,0,0,-0.677861,0,0,0.583439,0,0,-0.671316,0,0,0.588044,0,0,-0.65494,0,0,0.0386356,0,0,0.198399,0,0
58,2.15375,0,0,-0.571367,0,0,2.14771,0,0,-0.57568,0,0,2.14914,0,0,-0.58429,0,0,0.0121179,0,0,0.174674,0,0
59,0.353837,0,0,-0.0843244,0,0,0.342488,0,0,-0.166279,0,0,0.351236,0,0,-0.102051,0,0,0.0734658,0,0,0.189782,0,0
60,-0.676335,0,0,-0.511753,0,0,-0.65333,0,0,-0.540593,0,0,-0.631186,0,0,-0.542478,0,0,0.138661,0,0,0.201877,0,0
61,-0.623779,0,0,-0.501469,0,0,-0.601975,0,0,-0.494906,0,0,-0.59972,0,0,-0.519948,0,0,0.164758,0,0,0.181388,0,0
62,-0.537371,0,0,0.519268,0,0,-0.55501,0,0,0.496442,0,0,-0.534553,0,0,0.517552,0,0,0.165732,0,0,0.1797,0,0
63,0.774184,0,0,0.196007,0,0,0.765578,0,0,0.182344,0,0,0.771209,0,0,0.163982,0,0,0.0375332,0,0,0.203275,0,0
64,-0.897679,0,0,0.0436449,0,0,-0.926481,0,0,-0.0222259,0,0,-0.856222,0,0,0.00672802,0,0,0.19465,0,0,0.147392,0,0
65,0.380837,0,0,-0.492425,0,0,0.3711,0,0,-0.436657,0,0,0.384027,0,0,-0.449786,0,0,0.0593003,0,0,0.199832,0,0
66,-0.0284821,0,0,0.658481,0,0,-0.0173859,0,0,0.685577,0,0,-0.0153726,0,0,0.703089,0,0,0.09887,0,0,0.16613,0,0
67,-0.857987,0,0,0.153862,0,0,-0.918801,0,0,0.141958,0,0,-0.856921,0,0,0.168019,0,0,0.18516,0,0,0.1473,0,0
68,-0.233848,0,0,-0.475795,0,0,-0.272219,0,0,-0.431638,0,0,-0.223886,0,0,-0.471525,0,0,0.123128,0,0,0.179786,0,0
69,0.912738,0,0,0.0621107,0,0,0.905529,0,0,0.0364602,0,0,0.905992,0,0,0.0474059,0,0,0.0322574,0,0,0.194789,0,0
70,-0.329087,0,0,-0.125447,0,0,-0.297313,0,0,-0.125912,0,0,-0.311458,0,0,-0.0974588,0,0,0.121117,0,0,0.215759,0,0
71,0.671876,0,0,-0.0295154,0,0,0.664302,0,0,-0.0107393,0,0,0.669578,0,0,-0.0353185,0,0,0.0402573,0,0,0.213084,0,0
72,-0.257228,0,0,-0.148052,0,0,-0.235141,0,0,-0.221581,0,0,-0.225121,0,0,-0.161695,0,0,0.104038,0,0,0.194426,0,0
73,0.746491,0,0,0.297822,0,0,0.755935,0,0,0.352669,0,0,0.755973,0,0,0.32248,0,0,0.0401593,0,0,0.170728,0,0
74,-0.943781,0,0,0.101015,0,0,-0.907379,0,0,0.150679,0,0,-0.84821,0,0,0.0975689,0,0,0.221945,0,0,0.198551,0,0
75,-0.688181,0,0,-0.801677,0,0,-0.687896,0,0,-0.801599,0,0,-0.633932,0,0,-0.796868,0,0,0.158907,0,0,0.18,0,0
76,0.364239,0,0,0.29825,0,0,0.356744,0,0,0.307902,0,0,0.361921,0,0,0.303586,0,0,0.0438194,0,0,0.156035,0,0
77,0.125389,0,0,0.0232188,0,0,0.129226,0,0,-0.0259126,0,0,0.139611,0,0,0.0180317,0,0,0.0577909,0,0,0.175097,0,0
