id,p1_SAEM,p2_SAEM,alpha1_SAEM,alpha2_SAEM,p1_mean,p2_mean,alpha1_mean,alpha2_mean,p1_mode,p2_mode,alpha1_mode,alpha2_mode,p1_sd,p2_sd,alpha1_sd,alpha2_sd
1,3.19336,1,0.5,-0.3,3.19367,1,0.5,-0.3,3.19369,1,0.5,-0.3,0.00134413,0,0,0
2,3.63228,1,0.5,-0.3,3.6323,1,0.5,-0.3,3.63229,1,0.5,-0.3,0.00158134,0,0,0
3,2.79645,1,0.5,-0.3,2.79602,1,0.5,-0.3,2.79654,1,0.5,-0.3,0.00164199,0,0,0
4,4.30405,1,0.5,-0.3,4.30365,1,0.5,-0.3,4.30409,1,0.5,-0.3,0.0012253,0,0,0
5,2.62157,1,0.5,-0.3,2.6216,1,0.5,-0.3,2.62138,1,0.5,-0.3,0.00140928,0,0,0
6,3.05263,1,0.5,-0.3,3.05294,1,0.5,-0.3,3.05276,1,0.5,-0.3,0.00151238,0,0,0
7,3.21684,1,0.5,-0.3,3.21674,1,0.5,-0.3,3.21675,1,0.5,-0.3,0.00131085,0,0,0
8,3.22459,1,0.5,-0.3,3.22528,1,0.5,-0.3,3.22492,1,0.5,-0.3,0.00160272,0,0,0
9,1.01476,1,0.5,-0.3,1.01497,1,0.5,-0.3,1.01466,1,0.5,-0.3,0.00134268,0,0,0
10,2.28139,1,0.5,-0.3,2.28116,1,0.5,-0.3,2.28142,1,0.5,-0.3,0.0015416,0,0,0
11,3.1462,1,0.5,-0.3,3.14659,1,0.5,-0.3,3.14617,1,0.5,-0.3,0.0014979,0,0,0
12,3.60168,1,0.5,-0.3,3.60242,1,0.5,-0.3,3.6022,1,0.5,-0.3,0.00122192,0,0,0
13,2.95918,1,0.5,-0.3,2.9591,1,0.5,-0.3,2.9591,1,0.5,-0.3,0.00152811,0,0,0
14,1.54371,1,0.5,-0.3,1.54355,1,0.5,-0.3,1.5438,1,0.5,-0.3,0.00175678,0,0,0
15,3.74156,1,0.5,-0.3,3.74165,1,0.5,-0.3,3.74171,1,0.5,-0.3,0.00128878,0,0,0
16,2.85369,1,0.5,-0.3,2.85329,1,0.5,-0.3,2.85378,1,0.5,-0.3,0.00161676,0,0,0
17,4.07928,1,0.5,-0.3,4.07913,1,0.5,-0.3,4.07947,1,0.5,-0.3,0.0014647,0,0,0
18,3.71312,1,0.5,-0.3,3.71288,1,0.5,-0.3,3.71298,1,0.5,-0.3,0.0016484,0,0,0
19,2.7211,1,0.5,-0.3,2.72088,1,0.5,-0.3,2.72091,1,0.5,-0.3,0.00153439,0,0,0
20,2.29539,1,0.5,-0.3,2.29567,1,0.5,-0.3,2.29547,1,0.5,-0.3,0.00141316,0,0,0
21,2.50764,1,0.5,-0.3,2.50813,1,0.5,-0.3,2.50782,1,0.5,-0.3,0.00182071,0,0,0
22,2.31018,1,0.5,-0.3,2.31007,1,0.5,-0.3,2.31035,1,0.5,-0.3,0.00129426,0,0,0
23,1.63905,1,0.5,-0.3,1.63871,1,0.5,-0.3,1.63885,1,0.5,-0.3,0.00126968,0,0,0
24,2.60507,1,0.5,-0.3,2.60458,1,0.5,-0.3,2.60441,1,0.5,-0.3,0.00156471,0,0,0
25,2.98405,1,0.5,-0.3,2.98465,1,0.5,-0.3,2.98412,1,0.5,-0.3,0.00138482,0,0,0
26,2.66079,1,0.5,-0.3,2.66069,1,0.5,-0.3,2.66083,1,0.5,-0.3,0.00111088,0,0,0
27,3.81814,1,0.5,-0.3,3.81809,1,0.5,-0.3,3.81816,1,0.5,-0.3,0.00126792,0,0,0
28,3.25428,1,0.5,-0.3,3.25398,1,0.5,-0.3,3.25446,1,0.5,-0.3,0.00127118,0,0,0
29,1.99233,1,0.5,-0.3,1.99154,1,0.5,-0.3,1.99194,1,0.5,-0.3,0.00148164,0,0,0
30,3.80854,1,0.5,-0.3,3.80819,1,0.5,-0.3,3.80859,1,0.5,-0.3,0.00121553,0,0,0
31,3.19746,1,0.5,-0.3,3.19742,1,0.5,-0.3,3.19756,1,0.5,-0.3,0.00164096,0,0,0
32,3.1032,1,0.5,-0.3,3.1028,1,0.5,-0.3,3.10313,1,0.5,-0.3,0.00170146,0,0,0
33,2.53715,1,0.5,-0.3,2.53729,1,0.5,-0.3,2.5371,1,0.5,-0.3,0.00121401,0,0,0
34,2.03044,1,0.5,-0.3,2.03004,1,0.5,-0.3,2.03021,1,0.5,-0.3,0.0012702,0,0,0
35,4.2678,1,0.5,-0.3,4.26778,1,0.5,-0.3,4.26741,1,0.5,-0.3,0.00215254,0,0,0
36,2.567,1,0.5,-0.3,2.56711,1,0.5,-0.3,2.56711,1,0.5,-0.3,0.00119662,0,0,0
37,2.51957,1,0.5,-0.3,2.51993,1,0.5,-0.3,2.51974,1,0.5,-0.3,0.00118499,0,0,0
38,3.68074,1,0.5,-0.3,3.68123,1,0.5,-0.3,3.68139,1,0.5,-0.3,0.00157125,0,0,0
39,3.74907,1,0.5,-0.3,3.74991,1,0.5,-0.3,3.74973,1,0.5,-0.3,0.00129817,0,0,0
40,2.69638,1,0.5,-0.3,2.69606,1,0.5,-0.3,2.6963,1,0.5,-0.3,0.00157862,0,0,0
41,3.83056,1,0.5,-0.3,3.83046,1,0.5,-0.3,3.83054,1,0.5,-0.3,0.00130158,0,0,0
42,3.02881,1,0.5,-0.3,3.02858,1,0.5,-0.3,3.02871,1,0.5,-0.3,0.00179374,0,0,0
43,2.7424,1,0.5,-0.3,2.74246,1,0.5,-0.3,2.74238,1,0.5,-0.3,0.00178281,0,0,0
44,3.00361,1,0.5,-0.3,3.00331,1,0.5,-0.3,3.00377,1,0.5,-0.3,0.00159333,0,0,0
45,3.66726,1,0.5,-0.3,3.66731,1,0.5,-0.3,3.66736,1,0.5,-0.3,0.001135,0,0,0
46,2.33444,1,0.5,-0.3,2.33409,1,0.5,-0.3,2.33419,1,0.5,-0.3,0.00156584,0,0,0
47,1.93435,1,0.5,-0.3,1.93448,1,0.5,-0.3,1.93426,1,0.5,-0.3,0.00129087,0,0,0
48,2.77263,1,0.5,-0.3,2.77292,1,0.5,-0.3,2.77288,1,0.5,-0.3,0.00159315,0,0,0
49,2.85346,1,0.5,-0.3,2.85348,1,0.5,-0.3,2.85346,1,0.5,-0.3,0.00135792,0,0,0
50,3.86323,1,0.5,-0.3,3.86321,1,0.5,-0.3,3.8633,1,0.5,-0.3,0.00136426,0,0,0
