id,eta_p1_SAEM,eta_p2_SAEM,eta_alpha1_SAEM,eta_alpha2_SAEM,eta_p1_mean,eta_p2_mean,eta_alpha1_mean,eta_alpha2_mean,eta_p1_mode,eta_p2_mode,eta_alpha1_mode,eta_alpha2_mode,eta_p1_sd,eta_p2_sd,eta_alpha1_sd,eta_alpha2_sd
1,0.193361,0,0,0,0.193666,0,0,0,0.193685,0,0,0,0.00134413,0,0,0
2,0.632276,0,0,0,0.632299,0,0,0,0.632292,0,0,0,0.00158134,0,0,0
3,-0.203551,0,0,0,-0.203978,0,0,0,-0.203456,0,0,0,0.00164199,0,0,0
4,1.30405,0,0,0,1.30365,0,0,0,1.30409,0,0,0,0.0012253,0,0,0
5,-0.37843,0,0,0,-0.378396,0,0,0,-0.378623,0,0,0,0.00140928,0,0,0
6,0.0526288,0,0,0,0.0529394,0,0,0,0.0527583,0,0,0,0.00151238,0,0,0
7,0.216842,0,0,0,0.216745,0,0,0,0.216747,0,0,0,0.00131085,0,0,0
8,0.22459,0,0,0,0.225283,0,0,0,0.224915,0,0,0,0.00160272,0,0,0
9,-1.98524,0,0,0,-1.98503,0,0,0,-1.98534,0,0,0,0.00134268,0,0,0
10,-0.71861,0,0,0,-0.718836,0,0,0,-0.718582,0,0,0,0.0015416,0,0,0
11,0.146201,0,0,0,0.14659,0,0,0,0.146173,0,0,0,0.0014979,0,0,0
12,0.601684,0,0,0,0.602422,0,0,0,0.602199,0,0,0,0.00122192,0,0,0
13,-0.0408204,0,0,0,-0.0409014,0,0,0,-0.0409042,0,0,0,0.00152811,0,0,0
14,-1.45629,0,0,0,-1.45645,0,0,0,-1.4562,0,0,0,0.00175678,0,0,0
15,0.741561,0,0,0,0.741646,0,0,0,0.741706,0,0,0,0.00128878,0,0,0
16,-0.14631,0,0,0,-0.146706,0,0,0,-0.146217,0,0,0,0.00161676,0,0,0
17,1.07928,0,0,0,1.07913,0,0,0,1.07947,0,0,0,0.0014647,0,0,0
18,0.713121,0,0,0,0.712878,0,0,0,0.71298,0,0,0,0.0016484,0,0,0
19,-0.278904,0,0,0,-0.279116,0,0,0,-0.279089,0,0,0,0.00153439,0,0,0
20,-0.704606,0,0,0,-0.704335,0,0,0,-0.704526,0,0,0,0.00141316,0,0,0
21,-0.492363,0,0,0,-0.491869,0,0,0,-0.492181,0,0,0,0.00182071,0,0,0
22,-0.689819,0,0,0,-0.689935,0,0,0,-0.689651,0,0,0,0.00129426,0,0,0
23,-1.36095,0,0,0,-1.36129,0,0,0,-1.36115,0,0,0,0.00126968,0,0,0
24,-0.39493,0,0,0,-0.395419,0,0,0,-0.395587,0,0,0,0.00156471,0,0,0
25,-0.0159531,0,0,0,-0.0153519,0,0,0,-0.0158819,0,0,0,0.00138482,0,0,0
26,-0.339208,0,0,0,-0.339306,0,0,0,-0.33917,0,0,0,0.00111088,0,0,0
27,0.818141,0,0,0,0.818087,0,0,0,0.818156,0,0,0,0.00126792,0,0,0
28,0.254279,0,0,0,0.253978,0,0,0,0.254459,0,0,0,0.00127118,0,0,0
29,-1.00767,0,0,0,-1.00846,0,0,0,-1.00806,0,0,0,0.00148164,0,0,0
30,0.808541,0,0,0,0.808193,0,0,0,0.80859,0,0,0,0.00121553,0,0,0
31,0.197463,0,0,0,0.197418,0,0,0,0.197559,0,0,0,0.00164096,0,0,0
32,0.103196,0,0,0,0.102799,0,0,0,0.103126,0,0,0,0.00170146,0,0,0
33,-0.462852,0,0,0,-0.462715,0,0,0,-0.462897,0,0,0,0.00121401,0,0,0
34,-0.969558,0,0,0,-0.969963,0,0,0,-0.969792,0,0,0,0.0012702,0,0,0
35,1.2678,0,0,0,1.26778,0,0,0,1.26741,0,0,0,0.00215254,0,0,0
36,-0.432998,0,0,0,-0.432894,0,0,0,-0.432893,0,0,0,0.00119662,0,0,0
37,-0.480426,0,0,0,-0.480065,0,0,0,-0.480263,0,0,0,0.00118499,0,0,0
38,0.680741,0,0,0,0.681233,0,0,0,0.681392,0,0,0,0.00157125,0,0,0
39,0.749073,0,0,0,0.749906,0,0,0,0.749733,0,0,0,0.00129817,0,0,0
40,-0.303621,0,0,0,-0.303939,0,0,0,-0.303697,0,0,0,0.00157862,0,0,0
41,0.830559,0,0,0,0.830456,0,0,0,0.830539,0,0,0,0.00130158,0,0,0
42,0.028815,0,0,0,0.0285778,0,0,0,0.0287084,0,0,0,0.00179374,0,0,0
43,-0.257597,0,0,0,-0.257535,0,0,0,-0.257617,0,0,0,0.00178281,0,0,0
44,0.00361071,0,0,0,0.00330837,0,0,0,0.00377236,0,0,0,0.00159333,0,0,0
45,0.667261,0,0,0,0.667313,0,0,0,0.667355,0,0,0,0.001135,0,0,0
46,-0.665561,0,0,0,-0.665907,0,0,0,-0.665813,0,0,0,0.00156584,0,0,0
47,-1.06565,0,0,0,-1.06552,0,0,0,-1.06574,0,0,0,0.00129087,0,0,0
48,-0.227368,0,0,0,-0.227081,0,0,0,-0.227117,0,0,0,0.00159315,0,0,0
49,-0.146536,0,0,0,-0.146523,0,0,0,-0.146536,0,0,0,0.00135792,0,0,0
50,0.863231,0,0,0,0.863214,0,0,0,0.863297,0,0,0,0.00136426,0,0,0
