rep,id,p1,p2,alpha1,alpha2
1,1,3.19351,1,0.5,-0.3
2,1,3.1941,1,0.5,-0.3
3,1,3.19141,1,0.5,-0.3
4,1,3.19156,1,0.5,-0.3
5,1,3.19452,1,0.5,-0.3
6,1,3.19496,1,0.5,-0.3
7,1,3.19501,1,0.5,-0.3
8,1,3.19441,1,0.5,-0.3
9,1,3.19492,1,0.5,-0.3
10,1,3.19272,1,0.5,-0.3
1,2,3.63356,1,0.5,-0.3
2,2,3.63232,1,0.5,-0.3
3,2,3.63172,1,0.5,-0.3
4,2,3.6324,1,0.5,-0.3
5,2,3.63329,1,0.5,-0.3
6,2,3.63483,1,0.5,-0.3
7,2,3.63579,1,0.5,-0.3
8,2,3.6331,1,0.5,-0.3
9,2,3.63257,1,0.5,-0.3
10,2,3.63271,1,0.5,-0.3
1,3,2.79841,1,0.5,-0.3
2,3,2.79669,1,0.5,-0.3
3,3,2.79429,1,0.5,-0.3
4,3,2.79418,1,0.5,-0.3
5,3,2.79418,1,0.5,-0.3
6,3,2.79394,1,0.5,-0.3
7,3,2.79399,1,0.5,-0.3
8,3,2.79415,1,0.5,-0.3
9,3,2.79653,1,0.5,-0.3
10,3,2.79653,1,0.5,-0.3
1,4,4.30313,1,0.5,-0.3
2,4,4.3036,1,0.5,-0.3
3,4,4.30174,1,0.5,-0.3
4,4,4.30461,1,0.5,-0.3
5,4,4.30503,1,0.5,-0.3
6,4,4.30235,1,0.5,-0.3
7,4,4.30394,1,0.5,-0.3
8,4,4.30394,1,0.5,-0.3
9,4,4.30411,1,0.5,-0.3
10,4,4.3038,1,0.5,-0.3
1,5,2.62405,1,0.5,-0.3
2,5,2.62342,1,0.5,-0.3
3,5,2.62037,1,0.5,-0.3
4,5,2.62078,1,0.5,-0.3
5,5,2.61874,1,0.5,-0.3
6,5,2.62438,1,0.5,-0.3
7,5,2.62021,1,0.5,-0.3
8,5,2.62231,1,0.5,-0.3
9,5,2.62144,1,0.5,-0.3
10,5,2.62225,1,0.5,-0.3
1,6,3.05053,1,0.5,-0.3
2,6,3.054,1,0.5,-0.3
3,6,3.05132,1,0.5,-0.3
4,6,3.05188,1,0.5,-0.3
5,6,3.0526,1,0.5,-0.3
6,6,3.05144,1,0.5,-0.3
7,6,3.05178,1,0.5,-0.3
8,6,3.0523,1,0.5,-0.3
9,6,3.05172,1,0.5,-0.3
10,6,3.05378,1,0.5,-0.3
1,7,3.21473,1,0.5,-0.3
2,7,3.21388,1,0.5,-0.3
3,7,3.21694,1,0.5,-0.3
4,7,3.21677,1,0.5,-0.3
5,7,3.21617,1,0.5,-0.3
6,7,3.21577,1,0.5,-0.3
7,7,3.21532,1,0.5,-0.3
8,7,3.21761,1,0.5,-0.3
9,7,3.21606,1,0.5,-0.3
10,7,3.21596,1,0.5,-0.3
1,8,3.22532,1,0.5,-0.3
2,8,3.2266,1,0.5,-0.3
3,8,3.22295,1,0.5,-0.3
4,8,3.22755,1,0.5,-0.3
