rep,id,eta_p1,eta_p2,eta_alpha1,eta_alpha2
1,1,0.19351,0,0,0
2,1,0.194101,0,0,0
3,1,0.19141,0,0,0
4,1,0.191557,0,0,0
5,1,0.194516,0,0,0
6,1,0.194959,0,0,0
7,1,0.195012,0,0,0
8,1,0.19441,0,0,0
9,1,0.19492,0,0,0
10,1,0.192722,0,0,0
1,2,0.633561,0,0,0
2,2,0.632318,0,0,0
3,2,0.631721,0,0,0
4,2,0.632403,0,0,0
5,2,0.633286,0,0,0
6,2,0.63483,0,0,0
7,2,0.635794,0,0,0
8,2,0.633103,0,0,0
9,2,0.63257,0,0,0
10,2,0.632709,0,0,0
1,3,-0.201587,0,0,0
2,3,-0.203308,0,0,0
3,3,-0.205713,0,0,0
4,3,-0.205824,0,0,0
5,3,-0.205821,0,0,0
6,3,-0.206059,0,0,0
7,3,-0.206015,0,0,0
8,3,-0.205851,0,0,0
9,3,-0.203474,0,0,0
10,3,-0.203474,0,0,0
1,4,1.30313,0,0,0
2,4,1.3036,0,0,0
3,4,1.30174,0,0,0
4,4,1.30461,0,0,0
5,4,1.30503,0,0,0
6,4,1.30235,0,0,0
7,4,1.30394,0,0,0
8,4,1.30394,0,0,0
9,4,1.30411,0,0,0
10,4,1.3038,0,0,0
1,5,-0.375946,0,0,0
2,5,-0.376575,0,0,0
3,5,-0.379629,0,0,0
4,5,-0.379224,0,0,0
5,5,-0.381259,0,0,0
6,5,-0.375625,0,0,0
7,5,-0.379787,0,0,0
8,5,-0.377686,0,0,0
9,5,-0.378559,0,0,0
10,5,-0.377754,0,0,0
1,6,0.0505279,0,0,0
2,6,0.0540019,0,0,0
3,6,0.0513174,0,0,0
4,6,0.0518767,0,0,0
5,6,0.0525987,0,0,0
6,6,0.0514402,0,0,0
7,6,0.0517832,0,0,0
8,6,0.052305,0,0,0
9,6,0.0517248,0,0,0
10,6,0.0537797,0,0,0
1,7,0.214727,0,0,0
2,7,0.213884,0,0,0
3,7,0.21694,0,0,0
4,7,0.216773,0,0,0
5,7,0.216166,0,0,0
6,7,0.215766,0,0,0
7,7,0.215319,0,0,0
8,7,0.217614,0,0,0
9,7,0.21606,0,0,0
10,7,0.215964,0,0,0
1,8,0.225319,0,0,0
2,8,0.226599,0,0,0
3,8,0.222954,0,0,0
4,8,0.227551,0,0,0
5,8,0.228446,0,0,0
6,8,0.22595,0,0,0
7,8,0.224778,0,0,0
8,8,0.22538,0,0,0
9,8,0.22482,0,0,0
10,8,0.22482,0,0,0
1,9,-1.98558,0,0,0
2,9,-1.98461,0,0,0
3,9,-1.98461,0,0,0
4,9,-1.98349,0,0,0
5,9,-1.98552,0,0,0
6,9,-1.98604,0,0,0
7,9,-1.98336,0,0,0
8,9,-1.98389,0,0,0
9,9,-1.98451,0,0,0
10,9,-1.98439,0,0,0
1,10,-0.71803,0,0,0
2,10,-0.719478,0,0,0
3,10,-0.716141,0,0,0
4,10,-0.719351,0,0,0
5,10,-0.719136,0,0,0
6,10,-0.71473,0,0,0
7,10,-0.716176,0,0,0
8,10,-0.719809,0,0,0
9,10,-0.719373,0,0,0
10,10,-0.718127,0,0,0
1,11,0.145301,0,0,0
2,11,0.14408,0,0,0
3,11,0.143787,0,0,0
4,11,0.144843,0,0,0
5,11,0.146893,0,0,0
6,11,0.143897,0,0,0
7,11,0.14543,0,0,0
8,11,0.148724,0,0,0
9,11,0.148704,0,0,0
10,11,0.149059,0,0,0
1,12,0.60326,0,0,0
2,12,0.601866,0,0,0
3,12,0.603632,0,0,0
4,12,0.602029,0,0,0
5,12,0.603802,0,0,0
6,12,0.600841,0,0,0
7,12,0.603721,0,0,0
8,12,0.603064,0,0,0
9,12,0.604068,0,0,0
10,12,0.60342,0,0,0
1,13,-0.0407721,0,0,0
2,13,-0.0402534,0,0,0
3,13,-0.0380697,0,0,0
4,13,-0.0396928,0,0,0
5,13,-0.0397626,0,0,0
6,13,-0.0413246,0,0,0
7,13,-0.0413246,0,0,0
8,13,-0.0406077,0,0,0
9,13,-0.0379526,0,0,0
10,13,-0.0408307,0,0,0
1,14,-1.46096,0,0,0
2,14,-1.45479,0,0,0
3,14,-1.45652,0,0,0
4,14,-1.45722,0,0,0
5,14,-1.45513,0,0,0
6,14,-1.45812,0,0,0
7,14,-1.45704,0,0,0
8,14,-1.45669,0,0,0
9,14,-1.45614,0,0,0
10,14,-1.45766,0,0,0
1,15,0.740516,0,0,0
2,15,0.739615,0,0,0
3,15,0.740043,0,0,0
4,15,0.740682,0,0,0
5,15,0.742931,0,0,0
6,15,0.742474,0,0,0
7,15,0.743616,0,0,0
8,15,0.743559,0,0,0
9,15,0.741733,0,0,0
10,15,0.739676,0,0,0
1,16,-0.146398,0,0,0
2,16,-0.148367,0,0,0
3,16,-0.145055,0,0,0
4,16,-0.147998,0,0,0
5,16,-0.144678,0,0,0
6,16,-0.147441,0,0,0
7,16,-0.148096,0,0,0
8,16,-0.14473,0,0,0
9,16,-0.147281,0,0,0
10,16,-0.146074,0,0,0
1,17,1.08362,0,0,0
2,17,1.08037,0,0,0
3,17,1.08035,0,0,0
4,17,1.08032,0,0,0
5,17,1.07804,0,0,0
6,17,1.08047,0,0,0
7,17,1.08058,0,0,0
8,17,1.08012,0,0,0
9,17,1.07813,0,0,0
10,17,1.08043,0,0,0
1,18,0.711247,0,0,0
2,18,0.713347,0,0,0
3,18,0.713347,0,0,0
4,18,0.70889,0,0,0
5,18,0.715614,0,0,0
6,18,0.716095,0,0,0
7,18,0.713436,0,0,0
8,18,0.710884,0,0,0
9,18,0.714747,0,0,0
10,18,0.71447,0,0,0
1,19,-0.279989,0,0,0
2,19,-0.279305,0,0,0
3,19,-0.276555,0,0,0
4,19,-0.279137,0,0,0
5,19,-0.278096,0,0,0
6,19,-0.279808,0,0,0
7,19,-0.277567,0,0,0
8,19,-0.281495,0,0,0
9,19,-0.278751,0,0,0
10,19,-0.279859,0,0,0
1,20,-0.70446,0,0,0
2,20,-0.705718,0,0,0
3,20,-0.704059,0,0,0
4,20,-0.702678,0,0,0
5,20,-0.701976,0,0,0
6,20,-0.70047,0,0,0
7,20,-0.705576,0,0,0
8,20,-0.705221,0,0,0
