id,delta_S_SAEM,phi_S_SAEM,delta_AB_SAEM,alpha_11_SAEM,alpha_12_SAEM,alpha_13_SAEM,alpha_14_SAEM,alpha_15_SAEM,delta_S_mean,phi_S_mean,delta_AB_mean,alpha_11_mean,alpha_12_mean,alpha_13_mean,alpha_14_mean,alpha_15_mean,delta_S_sd,phi_S_sd,delta_AB_sd,alpha_11_sd,alpha_12_sd,alpha_13_sd,alpha_14_sd,alpha_15_sd
1,0.23972,254.884,0.0270304,0.101497,0,0,0,0,0.235551,257.41,0.0271141,0.101409,0,0,0,0,0.01191,51.8261,0.00114188,0,0,0,0,0
2,0.24195,474.457,0.0299271,0.101497,0,0,0,0,0.242071,511.113,0.0302118,0.101409,0,0,0,0,0.0149277,100.069,0.00102824,0,0,0,0,0
3,0.236365,322.335,0.0231559,0.101497,0,0,0,0,0.238724,325.489,0.0229843,0.101409,0,0,0,0,0.0147888,63.0352,0.00109336,0,0,0,0,0
4,0.237388,732.474,0.039855,0.101497,0,0,0,0,0.24297,773.139,0.0400582,0.101409,0,0,0,0,0.0145422,154.161,0.00102627,0,0,0,0,0
5,0.243297,793.745,0.0239756,0.101497,0,0,0,0,0.24385,744.2,0.0236232,0.101409,0,0,0,0,0.0133909,129.723,0.00101333,0,0,0,0,0
6,0.247828,167.479,0.0283525,0.101497,0,0,0,0,0.249783,164.356,0.028186,0.101409,0,0,0,0,0.015907,41.0158,0.00105465,0,0,0,0,0
7,0.245052,889.748,0.028197,0.101497,0,0,0,0,0.242733,850.554,0.0281706,0.101409,0,0,0,0,0.0125072,142.979,0.00103463,0,0,0,0,0
8,0.23597,656.764,0.0267193,0.101497,0,0,0,0,0.241503,700.264,0.0269969,0.101409,0,0,0,0,0.0158195,128.618,0.00090787,0,0,0,0,0
9,0.244836,339.414,0.0122952,0.101497,0,0,0,0,0.2404,330.424,0.0121332,0.101409,0,0,0,0,0.0141593,68.5421,0.000942374,0,0,0,0,0
10,0.241372,761.804,0.0182908,0.101497,0,0,0,0,0.23921,779.805,0.0184817,0.101409,0,0,0,0,0.0127662,118.921,0.00088455,0,0,0,0,0
11,0.234638,1741.84,0.0240756,0.101497,0,0,0,0,0.233242,1819.52,0.0243322,0.101409,0,0,0,0,0.0132432,313.753,0.00104549,0,0,0,0,0
12,0.24151,1202.4,0.0312911,0.101497,0,0,0,0,0.243003,1171.83,0.0312415,0.101409,0,0,0,0,0.0163766,226.45,0.00114915,0,0,0,0,0
13,0.241374,928.957,0.0250268,0.101497,0,0,0,0,0.242644,945.465,0.0249298,0.101409,0,0,0,0,0.0147827,162.979,0.000997941,0,0,0,0,0
14,0.243162,796.758,0.0145118,0.101497,0,0,0,0,0.238776,749.847,0.0142859,0.101409,0,0,0,0,0.014565,147.976,0.00103629,0,0,0,0,0
15,0.24491,387.977,0.0323641,0.101497,0,0,0,0,0.243736,364.052,0.0321078,0.101409,0,0,0,0,0.015711,80.0285,0.000958851,0,0,0,0,0
16,0.23786,338.261,0.0220278,0.101497,0,0,0,0,0.23658,320.785,0.0219367,0.101409,0,0,0,0,0.0115914,55.1218,0.00110517,0,0,0,0,0
17,0.239035,457.8,0.0382811,0.101497,0,0,0,0,0.239202,470.423,0.0382806,0.101409,0,0,0,0,0.0149293,90.9987,0.000939804,0,0,0,0,0
18,0.236365,1940.96,0.0314854,0.101497,0,0,0,0,0.237826,1979.99,0.0314897,0.101409,0,0,0,0,0.0124934,308.94,0.000923971,0,0,0,0,0
19,0.239758,973.441,0.0223571,0.101497,0,0,0,0,0.241803,968.609,0.0223247,0.101409,0,0,0,0,0.0138724,163.504,0.000818479,0,0,0,0,0
20,0.242112,294.771,0.0186489,0.101497,0,0,0,0,0.239474,290.524,0.0186773,0.101409,0,0,0,0,0.0168161,57.7958,0.00106112,0,0,0,0,0
21,0.243888,537.209,0.0228347,0.101497,0,0,0,0,0.24658,522.726,0.0226384,0.101409,0,0,0,0,0.0146201,102.12,0.00100707,0,0,0,0,0
22,0.238527,568.931,0.0179396,0.101497,0,0,0,0,0.240636,534.479,0.0175318,0.101409,0,0,0,0,0.0142093,85.0536,0.000890051,0,0,0,0,0
