id,eta_delta_S_SAEM,eta_phi_S_SAEM,eta_delta_AB_SAEM,eta_alpha_11_SAEM,eta_alpha_12_SAEM,eta_alpha_13_SAEM,eta_alpha_14_SAEM,eta_alpha_15_SAEM,eta_delta_S_mean,eta_phi_S_mean,eta_delta_AB_mean,eta_alpha_11_mean,eta_alpha_12_mean,eta_alpha_13_mean,eta_alpha_14_mean,eta_alpha_15_mean,eta_delta_S_sd,eta_phi_S_sd,eta_delta_AB_sd,eta_alpha_11_sd,eta_alpha_12_sd,eta_alpha_13_sd,eta_alpha_14_sd,eta_alpha_15_sd
1,-0.00645087,-0.840545,0.0829668,0,0,0,0,0,-0.0217858,-0.827815,0.0856583,0,0,0,0,0,0.0508809,0.195673,0.0421617,0,0,0,0,0
2,0.00259377,-0.215102,0.184888,0,0,0,0,0,0.00490436,-0.14117,0.194142,0,0,0,0,0,0.0617729,0.192505,0.0340904,0,0,0,0,0
3,-0.0213801,-0.605437,-0.0720318,0,0,0,0,0,-0.00905604,-0.592487,-0.079822,0,0,0,0,0,0.0624733,0.193322,0.0473326,0,0,0,0,0
4,-0.016646,0.223498,0.471763,0,0,0,0,0,0.0087174,0.271998,0.476495,0,0,0,0,0,0.0600182,0.195639,0.0256389,0,0,0,0,0
5,0.00832755,0.299209,-0.0374304,0,0,0,0,0,0.0126342,0.238474,-0.0522065,0,0,0,0,0,0.0546493,0.170471,0.0431552,0,0,0,0,0
6,0.0264626,-1.26256,0.130875,0,0,0,0,0,0.0361429,-1.28947,0.124603,0,0,0,0,0,0.0636678,0.258061,0.0379318,0,0,0,0,0
7,0.0153972,0.417185,0.125357,0,0,0,0,0,0.00823098,0.372606,0.124091,0,0,0,0,0,0.0509479,0.168471,0.0369425,0,0,0,0,0
8,-0.0224034,0.113614,0.0714419,0,0,0,0,0,0.00235548,0.175752,0.0816501,0,0,0,0,0,0.0645756,0.181438,0.0335371,0,0,0,0,0
9,0.0149311,-0.546276,-0.706836,0,0,0,0,0,-0.00183436,-0.580505,-0.720577,0,0,0,0,0,0.0584304,0.209598,0.077665,0,0,0,0,0
10,0.000626229,0.261076,-0.308509,0,0,0,0,0,-0.00649054,0.288676,-0.297885,0,0,0,0,0,0.0529741,0.148702,0.0482148,0,0,0,0,0
11,-0.027973,1.09417,-0.0328501,0,0,0,0,0,-0.0319493,1.13238,-0.0226326,0,0,0,0,0,0.0565515,0.172261,0.0429623,0,0,0,0,0
12,0.000749652,0.716794,0.229612,0,0,0,0,0,0.00837478,0.688896,0.227557,0,0,0,0,0,0.067543,0.190857,0.0369208,0,0,0,0,0
13,0.0003459,0.459464,0.00581978,0,0,0,0,0,0.00730462,0.477331,0.0017474,0,0,0,0,0,0.0612092,0.176106,0.0401972,0,0,0,0,0
14,0.00754341,0.298017,-0.541155,0,0,0,0,0,-0.00880004,0.241271,-0.556915,0,0,0,0,0,0.0620267,0.197667,0.0735514,0,0,0,0,0
15,0.0152263,-0.41726,0.263395,0,0,0,0,0,0.0115596,-0.483943,0.255145,0,0,0,0,0,0.0650692,0.20735,0.0298847,0,0,0,0,0
16,-0.0145911,-0.555803,-0.122004,0,0,0,0,0,-0.017331,-0.603445,-0.126626,0,0,0,0,0,0.048797,0.174867,0.0507022,0,0,0,0,0
17,-0.00926585,-0.252505,0.431378,0,0,0,0,0,-0.00706691,-0.222798,0.431135,0,0,0,0,0,0.062548,0.182549,0.0243804,0,0,0,0,0
18,-0.0205363,1.19441,0.235748,0,0,0,0,0,-0.0122549,1.21932,0.235717,0,0,0,0,0,0.052265,0.158218,0.0294983,0,0,0,0,0
19,-0.00685839,0.505603,-0.10692,0,0,0,0,0,0.00407204,0.50208,-0.108489,0,0,0,0,0,0.0568954,0.172726,0.0367362,0,0,0,0,0
20,0.00306977,-0.696185,-0.289045,0,0,0,0,0,-0.00640358,-0.707079,-0.287845,0,0,0,0,0,0.069417,0.198194,0.0577058,0,0,0,0,0
21,0.0108621,-0.0903368,-0.0860791,0,0,0,0,0,0.0235481,-0.120006,-0.094854,0,0,0,0,0,0.0582423,0.202714,0.0445691,0,0,0,0,0
22,-0.0113848,-0.0290129,-0.327646,0,0,0,0,0,-0.000917923,-0.090645,-0.350779,0,0,0,0,0,0.0600585,0.160691,0.0506476,0,0,0,0,0
23,-0.0143501,-0.419186,-0.471891,0,0,0,0,0,0.00515903,-0.398103,-0.477484,0,0,0,0,0,0.0459653,0.18695,0.0582771,0,0,0,0,0
24,0.00122607,-0.270004,-0.126998,0,0,0,0,0,6.53717e-05,-0.268955,-0.135883,0,0,0,0,0,0.0582514,0.197391,0.0447945,0,0,0,0,0
25,-0.0151485,-0.126901,0.0315657,0,0,0,0,0,-0.00614579,-0.172271,0.011995,0,0,0,0,0,0.0616812,0.156927,0.0411502,0,0,0,0,0
26,-0.0115872,-0.464923,-0.119166,0,0,0,0,0,-0.0016316,-0.543803,-0.139755,0,0,0,0,0,0.0539405,0.213313,0.0541196,0,0,0,0,0
27,-0.000201834,-0.593994,0.316533,0,0,0,0,0,0.0190541,-0.518102,0.31988,0,0,0,0,0,0.0608603,0.186645,0.0305759,0,0,0,0,0
28,0.0211542,-0.423139,0.0608218,0,0,0,0,0,0.00595751,-0.370826,0.0705036,0,0,0,0,0,0.0514431,0.137302,0.0345938,0,0,0,0,0
