rep,id,delta_S,phi_S,delta_AB,alpha_11,alpha_12,alpha_13,alpha_14,alpha_15
1,1,0.234811,276.256,0.0265865,0.101409,0,0,0,0
2,1,0.241939,217.804,0.0257691,0.101409,0,0,0,0
3,1,0.229534,144.106,0.0251253,0.101409,0,0,0,0
4,1,0.226207,260.445,0.0281267,0.101409,0,0,0,0
5,1,0.236448,262.212,0.0268816,0.101409,0,0,0,0
1,2,0.22048,477.091,0.0293088,0.101409,0,0,0,0
2,2,0.234932,504.342,0.0310826,0.101409,0,0,0,0
3,2,0.239687,467.055,0.0294592,0.101409,0,0,0,0
4,2,0.261394,436.215,0.0293521,0.101409,0,0,0,0
5,2,0.241156,433.359,0.0310849,0.101409,0,0,0,0
1,3,0.234411,231.664,0.022481,0.101409,0,0,0,0
2,3,0.225228,352.1,0.0238316,0.101409,0,0,0,0
3,3,0.240194,267.513,0.0231368,0.101409,0,0,0,0
4,3,0.253434,261.785,0.0230493,0.101409,0,0,0,0
5,3,0.207342,401.095,0.0247774,0.101409,0,0,0,0
1,4,0.216019,826.736,0.0400877,0.101409,0,0,0,0
2,4,0.240327,587.229,0.0381372,0.101409,0,0,0,0
3,4,0.276815,1152.46,0.0414201,0.101409,0,0,0,0
4,4,0.237985,644.77,0.0387526,0.101409,0,0,0,0
5,4,0.212702,662.37,0.0404967,0.101409,0,0,0,0
1,5,0.236356,1122.09,0.0251837,0.101409,0,0,0,0
2,5,0.239316,639.661,0.0240296,0.101409,0,0,0,0
3,5,0.253702,577.701,0.0212117,0.101409,0,0,0,0
4,5,0.240156,862.831,0.0240713,0.101409,0,0,0,0
5,5,0.229589,629.129,0.0231012,0.101409,0,0,0,0
1,6,0.271234,228.113,0.0280357,0.101409,0,0,0,0
2,6,0.263433,204.93,0.0295287,0.101409,0,0,0,0
3,6,0.262278,231.241,0.0291494,0.101409,0,0,0,0
4,6,0.260132,191.95,0.0283304,0.101409,0,0,0,0
5,6,0.260185,218.429,0.0290501,0.101409,0,0,0,0
1,7,0.245875,776.949,0.028845,0.101409,0,0,0,0
2,7,0.246805,711.377,0.0273789,0.101409,0,0,0,0
3,7,0.256511,988.226,0.0285281,0.101409,0,0,0,0
4,7,0.268559,894.564,0.0279384,0.101409,0,0,0,0
5,7,0.260765,973.603,0.0288475,0.101409,0,0,0,0
1,8,0.253199,776.858,0.0255579,0.101409,0,0,0,0
2,8,0.226583,709.988,0.0272957,0.101409,0,0,0,0
3,8,0.252817,630.284,0.0258219,0.101409,0,0,0,0
4,8,0.233234,641.056,0.0259319,0.101409,0,0,0,0
5,8,0.215475,673.438,0.0271751,0.101409,0,0,0,0
1,9,0.226682,357.331,0.0125753,0.101409,0,0,0,0
2,9,0.248254,299.295,0.0121596,0.101409,0,0,0,0
