rep,id,eta_delta_S,eta_phi_S,eta_delta_AB,eta_alpha_11,eta_alpha_12,eta_alpha_13,eta_alpha_14,eta_alpha_15
1,1,-0.0236417,-0.737825,0.0668946,0,0,0,0,0
2,1,0.00626461,-0.975557,0.0356651,0,0,0,0,0
3,1,-0.0463707,-1.3886,0.0103643,0,0,0,0,0
4,1,-0.0609715,-0.79676,0.123209,0,0,0,0,0
5,1,-0.0166936,-0.789999,0.0779344,0,0,0,0,0
1,2,-0.0866152,-0.191445,0.164378,0,0,0,0,0
2,2,-0.0231279,-0.135898,0.223138,0,0,0,0,0
3,2,-0.00309084,-0.212704,0.169497,0,0,0,0,0
4,2,0.0836075,-0.281015,0.165853,0,0,0,0,0
5,2,0.00302101,-0.287585,0.223212,0,0,0,0,0
1,3,-0.0253488,-0.913863,-0.100838,0,0,0,0,0
2,3,-0.0653106,-0.495236,-0.0424958,0,0,0,0,0
3,3,-0.000975233,-0.769983,-0.0720865,0,0,0,0,0
4,3,0.0526788,-0.791628,-0.0758731,0,0,0,0,0
5,3,-0.148051,-0.364953,-0.0035793,0,0,0,0,0
1,4,-0.107054,0.358334,0.477559,0,0,0,0,0
2,4,-0.000424003,0.0162634,0.42768,0,0,0,0,0
3,4,0.140926,0.690502,0.510257,0,0,0,0,0
4,4,-0.0102133,0.109742,0.443689,0,0,0,0,0
5,4,-0.122533,0.136674,0.487711,0,0,0,0,0
1,5,-0.0170843,0.663801,0.0126873,0,0,0,0,0
2,5,-0.00463833,0.101787,-0.0342244,0,0,0,0,0
3,5,0.0537376,-9.46958e-05,-0.158957,0,0,0,0,0
4,5,-0.00113254,0.401068,-0.0324876,0,0,0,0,0
5,5,-0.0461325,0.085185,-0.0736237,0,0,0,0,0
1,6,0.120559,-0.92931,0.119969,0,0,0,0,0
2,6,0.091377,-1.03648,0.171852,0,0,0,0,0
3,6,0.0869815,-0.915691,0.158924,0,0,0,0,0
4,6,0.0787682,-1.10192,0.130426,0,0,0,0,0
5,6,0.0789713,-0.972688,0.155513,0,0,0,0,0
1,7,0.0224007,0.296224,0.148426,0,0,0,0,0
2,7,0.0261744,0.208051,0.0962643,0,0,0,0,0
3,7,0.0647489,0.53676,0.13738,0,0,0,0,0
4,7,0.110647,0.437185,0.116492,0,0,0,0,0
5,7,0.0811978,0.521853,0.148513,0,0,0,0,0
