parameter,value,CV
delta_S_pop,0.240428527344537,
phi_S_pop,577.755761499024,
delta_AB_pop,0.0248661975996336,
alpha_11_pop,0.10140867061881,
alpha_12_pop,0,
alpha_13_pop,0,
alpha_14_pop,0,
alpha_15_pop,0,
omega_delta_S,0.0598603117741816,5.99139755456343
omega_phi_S,0.628660687959097,69.620562337647
omega_delta_AB,0.295038656099899,30.1577245827051
sigma_AB,0.11383768030386,
sigma_G1,0.27556761228657,
sigma_G2,0.33532221458621,
sigma_G3,0.387797520386577,
sigma_G4,0.356779491058596,
sigma_G5,0.319299453896142,
